Squad,NumPlayers,MP,Starts,Min,Nineties,GA,GA90,SoTA,Saves,SavePct,W,D,L,CS,CSPct,PKatt,PKA,PKsv,PKm,PKSavePct
Algeria,2,4,4,360,4.0,9,2.25,17,8,47.1,1,1,2,0,0.0,0,0,0,0,
Argentina,1,8,8,810,9.0,8,0.89,28,20,71.4,7,0,1,2,25.0,0,0,0,0,
Australia,2,4,4,390,4.3,3,0.69,17,14,82.4,1,1,2,2,50.0,0,0,0,0,
Austria,1,4,4,360,4.0,9,2.25,22,13,59.1,1,1,2,0,0.0,1,0,0,1,
Belgium,2,6,6,570,6.3,7,1.11,23,16,69.6,3,2,1,1,16.7,0,0,0,0,
Bosnia–Herz,1,4,4,360,4.0,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0
Brazil,1,5,5,450,5.0,4,0.8,18,14,77.8,3,1,1,2,40.0,0,0,0,0,
Cabo Verde,1,4,4,390,4.3,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,0,
Canada,1,5,5,450,5.0,6,1.2,12,6,50.0,2,1,2,2,40.0,0,0,0,0,
Colombia,1,5,5,480,5.3,1,0.19,7,6,85.7,3,1,1,4,80.0,0,0,0,0,
Congo DR,1,4,4,360,4.0,5,1.25,19,14,73.7,1,1,2,0,0.0,0,0,0,0,
Côte d'Ivoire,1,4,4,360,4.0,4,1.0,13,9,69.2,2,0,2,2,50.0,0,0,0,0,
Croatia,1,4,4,360,4.0,7,1.75,17,10,58.8,2,0,2,1,25.0,2,2,0,0,0.0
Curaçao,1,3,3,270,3.0,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0
Czechia,1,3,3,270,3.0,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0
Ecuador,1,4,4,360,4.0,4,1.0,13,9,69.2,1,1,2,1,25.0,0,0,0,0,
Egypt,1,5,5,480,5.3,7,1.31,19,12,63.2,2,2,1,0,0.0,2,0,2,0,100.0
England,2,8,8,750,8.3,12,1.44,32,20,62.5,6,1,1,2,25.0,1,1,0,0,0.0
France,1,8,8,720,8.0,10,1.25,22,12,54.5,6,0,2,4,50.0,3,2,1,0,33.3
Germany,1,4,4,390,4.3,5,1.15,10,5,50.0,2,0,2,0,0.0,0,0,0,0,
Ghana,2,4,4,360,4.0,3,0.75,19,16,84.2,1,1,2,2,50.0,0,0,0,0,
Haiti,1,3,3,270,3.0,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,
IR Iran,1,3,3,270,3.0,3,1.0,18,15,83.3,0,3,0,1,33.3,0,0,0,0,
Iraq,2,3,3,270,3.0,12,4.0,23,11,47.8,0,0,3,0,0.0,0,0,0,0,
Japan,1,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,0,
Jordan,1,3,3,270,3.0,8,2.67,16,8,50.0,0,0,3,0,0.0,2,2,0,0,0.0
Korea Republic,1,3,3,270,3.0,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,
Mexico,2,5,5,450,5.0,3,0.6,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0
Morocco,1,6,6,570,6.3,6,0.95,20,14,70.0,4,1,1,2,33.3,1,0,1,0,100.0
Netherlands,1,4,4,390,4.3,5,1.15,21,16,76.2,2,1,1,0,0.0,0,0,0,0,
New Zealand,1,3,3,270,3.0,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,
Norway,2,6,6,570,6.3,11,1.74,31,20,64.5,4,0,2,0,0.0,2,1,1,0,50.0
Panama,1,3,3,270,3.0,4,1.33,11,7,63.6,0,0,3,0,0.0,0,0,0,0,
Paraguay,1,5,5,480,5.3,6,1.13,29,23,79.3,2,1,2,2,40.0,1,1,0,0,0.0
Portugal,1,5,5,450,5.0,3,0.6,22,19,86.4,2,2,1,2,40.0,0,0,0,0,
Qatar,1,3,3,270,3.0,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0
Saudi Arabia,1,3,3,270,3.0,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,0,
Scotland,1,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,
Senegal,2,4,4,390,4.3,9,2.08,21,12,57.1,1,0,3,1,25.0,1,1,0,0,0.0
South Africa,1,4,4,360,4.0,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,
Spain,1,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,
Sweden,2,4,4,360,4.0,10,2.5,24,14,58.3,1,1,2,0,0.0,0,0,0,0,
Switzerland,1,6,6,600,6.7,6,0.9,26,20,76.9,4,1,1,2,33.3,0,0,0,0,
Tunisia,2,3,3,270,3.0,12,4.0,18,6,33.3,0,0,3,0,0.0,0,0,0,0,
Türkiye,1,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,
Uruguay,2,3,3,270,3.0,4,1.33,8,4,50.0,0,2,1,0,0.0,0,0,0,0,
USA,2,5,5,450,5.0,8,1.6,16,8,50.0,3,0,2,2,40.0,0,0,0,0,
Uzbekistan,2,3,3,270,3.0,11,3.67,17,6,35.3,0,0,3,0,0.0,1,1,0,0,0.0
