Squad,Sh,shots_per_match,stage
Algeria,44,11.0,knockout
Argentina,114,12.67,knockout
Australia,42,9.69,knockout
Austria,32,8.0,knockout
Belgium,112,17.68,knockout
Bosnia–Herz,37,9.25,knockout
Brazil,74,14.8,knockout
Cabo Verde,49,11.31,knockout
Canada,80,16.0,knockout
Colombia,94,17.62,knockout
Congo DR,41,10.25,knockout
Côte d'Ivoire,45,11.25,knockout
Croatia,37,9.25,knockout
Curaçao,29,9.67,group_stage
Czechia,34,11.33,group_stage
Ecuador,53,13.25,knockout
Egypt,67,12.56,knockout
England,118,14.16,knockout
France,139,17.37,knockout
Germany,74,17.08,knockout
Ghana,24,6.0,knockout
Haiti,31,10.33,group_stage
IR Iran,37,12.33,group_stage
Iraq,21,7.0,group_stage
Japan,34,8.5,knockout
Jordan,24,8.0,group_stage
Korea Republic,32,10.67,group_stage
Mexico,70,14.0,knockout
Morocco,69,10.89,knockout
Netherlands,46,10.62,knockout
New Zealand,31,10.33,group_stage
Norway,66,10.42,knockout
Panama,32,10.67,group_stage
Paraguay,35,6.56,knockout
Portugal,62,12.4,knockout
Qatar,18,6.0,group_stage
Saudi Arabia,17,5.67,group_stage
Scotland,29,9.67,group_stage
Senegal,69,15.92,knockout
South Africa,39,9.75,knockout
Spain,140,16.8,knockout
Sweden,48,12.0,knockout
Switzerland,74,11.1,knockout
Tunisia,18,6.0,group_stage
Türkiye,71,23.67,group_stage
Uruguay,49,16.33,group_stage
USA,59,11.8,knockout
Uzbekistan,18,6.0,group_stage
